2016-12-10 21:48:46,696 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\test\resources
2016-12-10 21:50:09,197 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-10 21:50:09,202 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\main\resources
2016-12-10 21:50:09,206 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-10 21:50:09,208 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\test\resources
2016-12-10 21:50:57,776 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-10 21:50:57,777 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\main\resources
2016-12-10 21:50:57,779 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-10 21:50:57,780 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\test\resources
2016-12-10 21:52:37,758 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2016-12-10 21:52:37,759 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\咸鱼一条\OBSH-WTF\OBSH\src\main\resources
2016-12-10 21:52:37,760 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
